,domain,url,urlType,M_dollar,M_dblApostrophe,M_comma,M_-LRB-,M_-RRB-,M_dot,M_colon,M_ADD,M_AFX,M_CC,M_CD,M_DT,M_EX,M_FW,M_HYPH,M_IN,M_JJ,M_JJR,M_JJS,M_LS,M_MD,M_NFP,M_NN,M_NNP,M_NNPS,M_NNS,M_PDT,M_POS,M_PRP,M_PRP$,M_RB,M_RBR,M_RBS,M_RP,M_SYM,M_TO,M_UH,M_VB,M_VBD,M_VBG,M_VBN,M_VBP,M_VBZ,M_WDT,M_WP,M_WP$,M_WRB,M_XX,M__SP,M_dblSpecialApostrophe
0,www.texaspolicy.com,https://www.texaspolicy.com/multimedia/article/ending-the-border-crisis-urgent-solutions-from-washington-and-texas,fake,-1,-1,3,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,1,-1,6,-1,-1,-1,-1,-1,6,5,1,3,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,-1,1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
1,jis.gov.jm,https://jis.gov.jm/president-trump-underscores-us-jamaica-relations/,fake,1,-1,14,-1,-1,11,-1,-1,-1,-1,2,-1,-1,-1,2,-1,19,1,1,-1,-1,-1,30,50,1,14,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,2,10,7,6,2,4,-1,-1,-1,-1,-1,-1,-1
2,www.breitbart.com,https://www.breitbart.com/local/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,fake,3,-1,15,2,2,19,3,-1,-1,2,25,2,-1,-1,1,4,14,1,1,-1,1,-1,58,106,3,20,-1,-1,-1,-1,10,-1,-1,-1,1,-1,-1,1,18,8,7,4,8,-1,-1,-1,-1,-1,-1,-1
3,www.politico.com,https://www.politico.com/story/2017/05/09/trump-presidents-carter-bush-clinton-238125,fake,-1,3,94,2,2,75,2,-1,-1,1,9,8,1,-1,7,9,140,1,1,-1,13,-1,179,202,2,86,-1,-1,9,-1,63,1,-1,2,-1,-1,-1,40,83,40,18,16,23,-1,-1,-1,-1,-1,-1,1
4,www.law.cornell.edu,https://www.law.cornell.edu/constitution-conan/amendment-25#amdt25_hd1,Reliable ,-1,-1,46,-1,-1,20,4,-1,-1,1,29,3,-1,-1,6,14,24,-1,-1,-1,16,-1,94,145,7,44,-1,-1,-1,-1,21,-1,-1,1,-1,-1,-1,23,29,10,5,3,7,-1,-1,-1,3,-1,-1,-1
5,https://www.washingtonpost.com,https://www.washingtonpost.com/news/the-fix/wp/2016/02/11/transcript-the-democratic-debate-in-milwaukee-annotated/,Reliable ,-1,-1,16,-1,-1,18,8,-1,-1,-1,3,-1,-1,-1,2,5,13,-1,-1,-1,1,-1,35,39,1,15,-1,-1,4,-1,6,-1,-1,-1,-1,-1,1,19,2,4,5,10,-1,-1,-1,1,-1,-1,-1,-1
6,https://abcnews.go.com,http://abcnews.go.com/Politics/memory-lapse-trump-seeks-distance-advisor-past-ties/story?id=34600826,Reliable ,2,6,123,-1,-1,91,5,-1,-1,2,36,8,-1,-1,11,9,113,-1,-1,-1,9,6,350,270,7,105,-1,-1,8,1,75,1,-1,-1,2,-1,3,29,125,39,46,18,23,-1,-1,1,-1,1,-1,9
7,https://www.washingtonpost.com,https://www.washingtonpost.com/local/they-say-they-arrived-in-the-us-illegally-now-theyre-working-on-trumps-dc-hotel/2015/07/06/9a785116-20ec-11e5-84d5-eb37ee8eaa61_story.html,Reliable ,1,-1,73,1,1,55,1,-1,1,-1,27,3,-1,-1,7,9,109,3,2,1,4,-1,221,132,5,105,-1,-1,4,-1,35,1,-1,-1,-1,-1,-1,24,60,36,12,25,21,-1,-1,1,-1,-1,-1,-1
8,https://minnesota.cbslocal.com,http://minnesota.cbslocal.com/2016/07/09/philando-stops/,Reliable ,1,-1,66,1,1,48,2,-1,-1,1,20,5,-1,-1,4,11,74,3,-1,-1,5,-1,130,110,3,84,-1,-1,3,-1,30,1,3,1,-1,-1,-1,18,53,21,23,15,9,-1,-1,-1,-1,-1,-1,-1
9,https://www.motherjones.com,https://www.motherjones.com/politics/2012/09/secret-video-romney-private-fundraiser/,Reliable ,-1,-1,28,2,2,20,6,-1,-1,-1,3,4,-1,-1,3,2,21,1,1,-1,2,1,67,26,3,17,-1,-1,6,-1,18,1,-1,-1,-1,-1,2,15,15,6,11,11,5,-1,1,-1,-1,-1,-1,-1
