,domain,url,urlType,M_dollar,M_dblApostrophe,M_comma,M_-LRB-,M_-RRB-,M_dot,M_colon,M_ADD,M_AFX,M_CC,M_CD,M_DT,M_EX,M_FW,M_HYPH,M_IN,M_JJ,M_JJR,M_JJS,M_LS,M_MD,M_NFP,M_NN,M_NNP,M_NNPS,M_NNS,M_PDT,M_POS,M_PRP,M_PRP$,M_RB,M_RBR,M_RBS,M_RP,M_SYM,M_TO,M_UH,M_VB,M_VBD,M_VBG,M_VBN,M_VBP,M_VBZ,M_WDT,M_WP,M_WP$,M_WRB,M_XX,M__SP,M_dblSpecialApostrophe,M_normDollar,M_normDblApostrophe,M_normComma,M_norm-LRB-,M_norm-RRB-,M_normDot,M_normColon,M_normADD,M_normAFX,M_normCC,M_normCD,M_normDT,M_normEX,M_normFW,M_normHYPH,M_normIN,M_normJJ,M_normJJR,M_normJJS,M_normLS,M_normMD,M_normNFP,M_normNN,M_normNNP,M_normNNPS,M_normNNS,M_normPDT,M_normPOS,M_normPRP,M_normPRP$,M_normRB,M_normRBR,M_normRBS,M_normRP,M_normSYM,M_normTO,M_normUH,M_normVB,M_normVBD,M_normVBG,M_normVBN,M_normVBP,M_normVBZ,M_normWDT,M_normWP,M_normWP$,M_normWRB,M_normXX,M_norm_SP,M_normDblSpecialApostrophe
0,www.texaspolicy.com,https://www.texaspolicy.com/multimedia/article/ending-the-border-crisis-urgent-solutions-from-washington-and-texas,fake,-1,-1,3,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,1,-1,6,-1,-1,-1,-1,-1,6,5,1,3,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,-1,1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.125,-1,-1,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,0.0,-1.0,-1.0,-1,-1.0,-1.0,0.0,0.0,0.0,0.0,-1,-1,-1.0,-1,0.0,-1,-1,-1.0,-1.0,-1,-1.0,0.076923077,-1.0,0.0,-1.0,-1.0,0.086956522,-1,-1,-1,-1,-1,-1,-1.0
1,jis.gov.jm,https://jis.gov.jm/president-trump-underscores-us-jamaica-relations/,fake,1,-1,14,-1,-1,11,-1,-1,-1,-1,2,-1,-1,-1,2,-1,19,1,1,-1,-1,-1,30,50,1,14,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,2,10,7,6,2,4,-1,-1,-1,-1,-1,-1,-1,0.333333333,-1.0,0.091666667,-1.0,-1.0,0.101123596,-1.0,-1,-1,-1.0,0.055555556,-1.0,-1,-1,0.1,-1.0,0.097014925,0.333333333,0.5,-1,-1.0,-1.0,0.069767442,0.16981132100000002,0.0,0.107843137,-1,-1,-1.0,-1,0.054054054,-1,-1,-1.0,-1.0,-1,-1.0,0.025641026,0.08,0.153846154,0.130434783,0.08,0.17391304300000002,-1,-1,-1,-1,-1,-1,-1.0
2,www.breitbart.com,https://www.breitbart.com/local/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,fake,3,-1,15,2,2,19,3,-1,-1,2,25,2,-1,-1,1,4,14,1,1,-1,1,-1,58,106,3,20,-1,-1,-1,-1,10,-1,-1,-1,1,-1,-1,1,18,8,7,4,8,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0.1,1.0,1.0,0.19101123600000006,0.375,-1,-1,1.0,0.694444444,0.25,-1,-1,0.0,0.28571428600000004,0.059701493,0.333333333,0.5,-1,0.0625,-1.0,0.151162791,0.381132075,0.333333333,0.166666667,-1,-1,-1.0,-1,0.121621622,-1,-1,-1.0,0.5,-1,-1.0,0.0,0.14400000000000002,0.179487179,0.152173913,0.16,0.347826087,-1,-1,-1,-1,-1,-1,-1.0
3,www.politico.com,https://www.politico.com/story/2017/05/09/trump-presidents-carter-bush-clinton-238125,fake,-1,3,94,2,2,75,2,-1,-1,1,9,8,1,-1,7,9,140,1,1,-1,13,-1,179,202,2,86,-1,-1,9,-1,63,1,-1,2,-1,-1,-1,40,83,40,18,16,23,-1,-1,-1,-1,-1,-1,1,-1.0,0.5,0.7583333329999999,1.0,1.0,0.820224719,0.25,-1,-1,0.5,0.25,1.0,1,-1,0.6,0.642857143,1.0,0.333333333,0.5,-1,0.8125,-1.0,0.502906977,0.743396226,0.166666667,0.81372549,-1,-1,1.0,-1,0.837837838,1,-1,1.0,-1.0,-1,-1.0,1.0,0.664,1.0,0.391304348,0.64,1.0,-1,-1,-1,-1,-1,-1,0.111111111
4,www.law.cornell.edu,https://www.law.cornell.edu/constitution-conan/amendment-25#amdt25_hd1,Reliable ,-1,-1,46,-1,-1,20,4,-1,-1,1,29,3,-1,-1,6,14,24,-1,-1,-1,16,-1,94,145,7,44,-1,-1,-1,-1,21,-1,-1,1,-1,-1,-1,23,29,10,5,3,7,-1,-1,-1,3,-1,-1,-1,-1.0,-1.0,0.358333333,-1.0,-1.0,0.202247191,0.5,-1,-1,0.5,0.805555556,0.375,-1,-1,0.5,1.0,0.134328358,-1.0,-1.0,-1,1.0,-1.0,0.255813953,0.528301887,1.0,0.401960784,-1,-1,-1.0,-1,0.27027027,-1,-1,0.5,-1.0,-1,-1.0,0.564102564,0.232,0.230769231,0.108695652,0.12,0.304347826,-1,-1,-1,1,-1,-1,-1.0
5,https://www.washingtonpost.com,https://www.washingtonpost.com/news/the-fix/wp/2016/02/11/transcript-the-democratic-debate-in-milwaukee-annotated/,Reliable ,-1,-1,16,-1,-1,18,8,-1,-1,-1,3,-1,-1,-1,2,5,13,-1,-1,-1,1,-1,35,39,1,15,-1,-1,4,-1,6,-1,-1,-1,-1,-1,1,19,2,4,5,10,-1,-1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.108333333,-1.0,-1.0,0.179775281,1.0,-1,-1,-1.0,0.083333333,-1.0,-1,-1,0.1,0.35714285700000004,0.052238806,-1.0,-1.0,-1,0.0625,-1.0,0.084302326,0.128301887,0.0,0.117647059,-1,-1,0.444444444,-1,0.067567568,-1,-1,-1.0,-1.0,-1,0.333333333,0.461538462,0.016,0.076923077,0.108695652,0.4,-1.0,-1,-1,1,-1,-1,-1,-1.0
6,https://abcnews.go.com,http://abcnews.go.com/Politics/memory-lapse-trump-seeks-distance-advisor-past-ties/story?id=34600826,Reliable ,2,6,123,-1,-1,91,5,-1,-1,2,36,8,-1,-1,11,9,113,-1,-1,-1,9,6,350,270,7,105,-1,-1,8,1,75,1,-1,-1,2,-1,3,29,125,39,46,18,23,-1,-1,1,-1,1,-1,9,0.666666667,1.0,1.0,-1.0,-1.0,1.0,0.625,-1,-1,1.0,1.0,1.0,-1,-1,1.0,0.642857143,0.798507463,-1.0,-1.0,-1,0.5625,1.0,1.0,1.0,1.0,1.0,-1,-1,0.8888888890000001,1,1.0,1,-1,-1.0,1.0,-1,1.0,0.7179487179999999,1.0,0.974358974,1.0,0.72,1.0,-1,-1,1,-1,1,-1,1.0
7,https://www.washingtonpost.com,https://www.washingtonpost.com/local/they-say-they-arrived-in-the-us-illegally-now-theyre-working-on-trumps-dc-hotel/2015/07/06/9a785116-20ec-11e5-84d5-eb37ee8eaa61_story.html,Reliable ,1,-1,73,1,1,55,1,-1,1,-1,27,3,-1,-1,7,9,109,3,2,1,4,-1,221,132,5,105,-1,-1,4,-1,35,1,-1,-1,-1,-1,-1,24,60,36,12,25,21,-1,-1,1,-1,-1,-1,-1,0.333333333,-1.0,0.583333333,0.5,0.5,0.595505618,0.125,-1,1,-1.0,0.75,0.375,-1,-1,0.6,0.642857143,0.768656716,1.0,1.0,1,0.25,-1.0,0.625,0.479245283,0.666666667,1.0,-1,-1,0.444444444,-1,0.459459459,1,-1,-1.0,-1.0,-1,-1.0,0.58974359,0.48,0.897435897,0.260869565,1.0,0.913043478,-1,-1,1,-1,-1,-1,-1.0
8,https://minnesota.cbslocal.com,http://minnesota.cbslocal.com/2016/07/09/philando-stops/,Reliable ,1,-1,66,1,1,48,2,-1,-1,1,20,5,-1,-1,4,11,74,3,-1,-1,5,-1,130,110,3,84,-1,-1,3,-1,30,1,3,1,-1,-1,-1,18,53,21,23,15,9,-1,-1,-1,-1,-1,-1,-1,0.333333333,-1.0,0.525,0.5,0.5,0.5168539329999999,0.25,-1,-1,0.5,0.5555555560000001,0.625,-1,-1,0.3,0.7857142859999999,0.5074626870000001,1.0,-1.0,-1,0.3125,-1.0,0.360465116,0.396226415,0.333333333,0.794117647,-1,-1,0.333333333,-1,0.391891892,1,1,0.5,-1.0,-1,-1.0,0.435897436,0.424,0.512820513,0.5,0.6,0.391304348,-1,-1,-1,-1,-1,-1,-1.0
9,https://www.motherjones.com,https://www.motherjones.com/politics/2012/09/secret-video-romney-private-fundraiser/,Reliable ,-1,-1,28,2,2,20,6,-1,-1,-1,3,4,-1,-1,3,2,21,1,1,-1,2,1,67,26,3,17,-1,-1,6,-1,18,1,-1,-1,-1,-1,2,15,15,6,11,11,5,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,0.208333333,1.0,1.0,0.202247191,0.75,-1,-1,-1.0,0.083333333,0.5,-1,-1,0.2,0.14285714300000002,0.111940299,0.333333333,0.5,-1,0.125,0.166666667,0.177325581,0.079245283,0.333333333,0.13725490199999998,-1,-1,0.666666667,-1,0.22972973,1,-1,-1.0,-1.0,-1,0.666666667,0.358974359,0.12,0.128205128,0.239130435,0.44,0.217391304,-1,1,-1,-1,-1,-1,-1.0
