,domain,url,urlType,R_full_text_Flesch_reading_ease,R_full_text_Flesch_kincaid_grade,R_full_text_smog,R_full_text_gunning_fog,R_full_text_words_per_sentence,R_full_text_capitalized_words,R_full_text_lexicon,R_full_text_urls_counts,R_full_text_long_words,R_full_text_syllables,R_full_text_stop_words,R_full_text_sentences,R_full_text_linsear_write,R_full_text_automated_readability,R_full_text_characters_total,R_full_text_coleman_liax,R_full_text_difficult_words,R_full_text_words_total
0,www.texaspolicy.com,https://www.texaspolicy.com/multimedia/article/ending-the-border-crisis-urgent-solutions-from-washington-and-texas,fake,27.83,24.8,0.0,32.53333333333334,18.0,8.0,28.0,0.0,26.0,69.0,497.22222222222223,2.0,23.5,29.1,249.0,26.52,21.0,36.0
1,jis.gov.jm,https://jis.gov.jm/president-trump-underscores-us-jamaica-relations/,fake,42.24,17.7,17.0,22.457728937728934,12.133333333333333,56.0,151.0,0.0,131.0,331.0,98.35164835164836,15.0,13.5,21.7,1245.0,23.03,71.0,182.0
2,www.breitbart.com,https://www.breitbart.com/local/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,fake,48.05,15.5,15.5,20.875003206361423,14.73913043478261,106.0,287.0,0.0,222.0,577.0,52.8023598820059,23.0,11.833333333333336,18.3,2150.0,18.51,110.0,339.0
3,www.politico.com,https://www.politico.com/story/2017/05/09/trump-presidents-carter-bush-clinton-238125,fake,50.52,18.4,17.1,17.305610345753866,12.315217391304348,232.0,915.0,0.0,729.0,1887.0,15.798764342453664,92.0,19.0,22.0,7189.0,20.77,294.0,1133.0
4,www.law.cornell.edu,https://www.law.cornell.edu/constitution-conan/amendment-25#amdt25_hd1,Reliable ,27.92,19.1,17.7,18.3144434757338,17.903225806451616,152.0,473.0,0.0,371.0,1035.0,32.25225225225225,31.0,19.75,22.3,3779.0,21.99,127.0,555.0
5,https://www.washingtonpost.com,https://www.washingtonpost.com/news/the-fix/wp/2016/02/11/transcript-the-democratic-debate-in-milwaukee-annotated/,Reliable ,71.49,14.7,14.0,14.558769230769231,8.32,39.0,162.0,0.0,119.0,307.0,86.05769230769229,25.0,11.166666666666664,19.2,1235.0,18.62,48.0,208.0
6,https://abcnews.go.com,http://abcnews.go.com/Politics/memory-lapse-trump-seeks-distance-advisor-past-ties/story?id=34600826,Reliable ,59.31,16.4,16.5,15.346553129074318,11.984375,286.0,1255.0,0.0,945.0,2413.0,11.66883963494133,128.0,17.5,21.1,9447.0,18.92,328.0,1534.0
7,https://www.washingtonpost.com,https://www.washingtonpost.com/local/they-say-they-arrived-in-the-us-illegally-now-theyre-working-on-trumps-dc-hotel/2015/07/06/9a785116-20ec-11e5-84d5-eb37ee8eaa61_story.html,Reliable ,49.57,20.5,18.0,18.685052399338115,13.243243243243244,163.0,832.0,0.0,646.0,1626.0,18.26530612244898,74.0,35.5,25.3,6342.0,20.03,279.0,980.0
8,https://minnesota.cbslocal.com,http://minnesota.cbslocal.com/2016/07/09/philando-stops/,Reliable ,56.02,17.2,16.9,19.028133719975926,15.224489795918364,123.0,612.0,0.0,486.0,1181.0,23.99463806970509,49.0,21.66666666666667,22.9,4713.0,19.9,204.0,746.0
9,https://www.motherjones.com,https://www.motherjones.com/politics/2012/09/secret-video-romney-private-fundraiser/,Reliable ,59.3,19.2,17.1,17.333333333333332,12.0,39.0,231.0,0.0,178.0,480.0,59.66666666666667,25.0,34.5,22.7,1806.0,19.96,79.0,300.0
