,domain,url,urlType,T_totalTweets,T_totalRetweets,T_totalLikes,T_totalReplies,T_span,T_countWeekDay,T_countWeekEnd,T_countMonday,T_countTuesday,T_countWednesday,T_countThursday,T_countFriday,T_countSaturday,T_countSunday,T_avgTimeBetweenTweets,T_avgTimeOfNextTweet,T_timeAbsBin1count0to6,T_timeAbsBin2count6to12,T_timeAbsBin3count12to18,T_timeAbsBin4count18to24,T_timeAbsBin5count24plus,T_avgTweetsPerUniqUser
0,www.texaspolicy.com,https://www.texaspolicy.com/multimedia/article/ending-the-border-crisis-urgent-solutions-from-washington-and-texas,fake,9,48,85,18,49.71666667,8,1,0,0,0,8,0,1,0,6.214583332999999,7.65625,8,0,0,0,1,1.125
1,jis.gov.jm,https://jis.gov.jm/president-trump-underscores-us-jamaica-relations/,fake,3,0,0,0,3336.316667,3,0,1,1,1,0,0,0,0,1668.158333,1679.5583329999995,1,0,0,1,1,1.5
2,www.breitbart.com,https://www.breitbart.com/local/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,fake,3,1,1,1,5253.983333,2,1,1,0,0,0,1,0,1,2626.991667,3588.108333,1,0,0,0,2,1.0
3,www.politico.com,https://www.politico.com/story/2017/05/09/trump-presidents-carter-bush-clinton-238125,fake,3,1,9,0,15380.86667,2,1,1,0,0,1,0,0,1,7690.433333,13856.225,1,0,0,0,2,1.0
4,www.law.cornell.edu,https://www.law.cornell.edu/constitution-conan/amendment-25#amdt25_hd1,Reliable ,14,3,10,4,10500.53333,10,4,1,2,0,3,4,3,1,807.7333332999998,5177.987179,1,0,0,0,13,1.076923077
5,https://www.washingtonpost.com,https://www.washingtonpost.com/news/the-fix/wp/2016/02/11/transcript-the-democratic-debate-in-milwaukee-annotated/,Reliable ,77,9,12,8,30007.35,66,11,5,0,4,1,56,7,4,394.8335526,6343.960307,3,1,0,0,73,1.132352941
6,https://abcnews.go.com,http://abcnews.go.com/Politics/memory-lapse-trump-seeks-distance-advisor-past-ties/story?id=34600826,Reliable ,804,2264,1967,450,36310.21667,574,230,247,73,92,92,70,94,136,45.21820257,6701.372333,38,18,0,0,748,1.448648649
7,https://www.washingtonpost.com,https://www.washingtonpost.com/local/they-say-they-arrived-in-the-us-illegally-now-theyre-working-on-trumps-dc-hotel/2015/07/06/9a785116-20ec-11e5-84d5-eb37ee8eaa61_story.html,Reliable ,270,624,584,120,40678.36667,176,94,18,24,30,51,53,64,30,151.2206939,13209.42206,1,0,0,0,269,1.285714286
8,https://minnesota.cbslocal.com,http://minnesota.cbslocal.com/2016/07/09/philando-stops/,Reliable ,233,353,322,90,18922.08333,188,45,28,2,76,7,75,18,27,81.56070402,7062.090589,1,0,0,0,232,1.044843049
9,https://www.motherjones.com,https://www.motherjones.com/politics/2012/09/secret-video-romney-private-fundraiser/,Reliable ,110,600,1149,98,16563.966669999998,88,22,9,11,23,2,43,12,10,151.9629969,8510.033486,1,0,0,0,109,1.25
